,brand,titles,titles_tag
2207,navy ship caps,clothe hat iowa navy ship trucker uss,"[('clothe', 'NOUN'), ('hat', 'NOUN'), ('iowa', 'NOUN'), ('navy', 'NOUN'), ('ship', 'NOUN'), ('trucker', 'NOUN'), ('uss', 'NOUN')]"
2208,naxa,amplifier black channel digital naxa soundbar watt,"[('amplifier', 'NOUN'), ('black', 'ADJ'), ('channel', 'NOUN'), ('digital', 'ADJ'), ('naxa', 'ADJ'), ('soundbar', 'NOUN'), ('watt', 'NOUN')]"
2209,nba,backpack bag ball black cavaliers clothe denver fit garnet grizzlies heat jam jersey lakers lebron logo logos men miami nba neck necktie nuggets one original replica road silk size tie,"[('backpack', 'NOUN'), ('bag', 'NOUN'), ('ball', 'NOUN'), ('black', 'ADJ'), ('cavaliers', 'NOUN'), ('clothe', 'VERB'), ('denver', 'NOUN'), ('fit', 'ADJ'), ('garnet', 'NOUN'), ('grizzlies', 'NOUN'), ('heat', 'NOUN'), ('jam', 'NOUN'), ('jersey', 'NOUN'), ('lakers', 'NOUN'), ('lebron', 'NOUN'), ('logo', 'NOUN'), ('logos', 'VERB'), ('men', 'NOUN'), ('miami', 'VERB'), ('nba', 'ADJ'), ('neck', 'NOUN'), ('necktie', 'NOUN'), ('nuggets', 'NOUN'), ('one', 'NUM'), ('original', 'ADJ'), ('replica', 'NOUN'), ('road', 'NOUN'), ('silk', 'NOUN'), ('size', 'NOUN'), ('tie', 'NOUN')]"
2210,ncaa,buckeyes case cell clothe green holder men miami mississippi ncaa ohio phone plaid polyester red state tie,"[('buckeyes', 'NOUN'), ('case', 'NOUN'), ('cell', 'NOUN'), ('clothe', 'NOUN'), ('green', 'ADJ'), ('holder', 'NOUN'), ('men', 'NOUN'), ('miami', 'NOUN'), ('mississippi', 'VERB'), ('ncaa', 'ADJ'), ('ohio', 'NOUN'), ('phone', 'NOUN'), ('plaid', 'NOUN'), ('polyester', 'NOUN'), ('red', 'ADJ'), ('state', 'NOUN'), ('tie', 'NOUN')]"
2211,neal's ties,clothe labradors tie,"[('clothe', 'NOUN'), ('labradors', 'NOUN'), ('tie', 'VERB')]"
2212,nearly me,beige black breast clothe foam form gaff hip nearly nude pad panties rear shoulder silicone strap tender tip triangle,"[('beige', 'ADJ'), ('black', 'ADJ'), ('breast', 'NOUN'), ('clothe', 'NOUN'), ('foam', 'NOUN'), ('form', 'NOUN'), ('gaff', 'NOUN'), ('hip', 'NOUN'), ('nearly', 'ADV'), ('nude', 'ADJ'), ('pad', 'NOUN'), ('panties', 'NOUN'), ('rear', 'VERB'), ('shoulder', 'NOUN'), ('silicone', 'NOUN'), ('strap', 'NOUN'), ('tender', 'NOUN'), ('tip', 'NOUN'), ('triangle', 'NOUN')]"
2213,neca,animal clothe crookshank death fawkes game grindhouse harry hedwig keychain neca phoenix plush potter proof quot toy,"[('animal', 'NOUN'), ('clothe', 'NOUN'), ('crookshank', 'NOUN'), ('death', 'NOUN'), ('fawkes', 'NOUN'), ('game', 'NOUN'), ('grindhouse', 'NOUN'), ('harry', 'NOUN'), ('hedwig', 'NOUN'), ('keychain', 'ADJ'), ('neca', 'ADJ'), ('phoenix', 'NOUN'), ('plush', 'ADJ'), ('potter', 'ADJ'), ('proof', 'NOUN'), ('quot', 'NOUN'), ('toy', 'NOUN')]"
2214,necessary objects,animal appliqu applique azalea bag beige berry bikini black blend blouse boyleg bra brocade bronze brown bubble bustier cameo camisole celebrity charm cheek chocolate clothe clutch cream croco dare east emily floral frame gold green halter handle havana heart hobo holly jacket jewel juice kings large libra light lilac little lose marilyn match meadow medium mesh messenger metallic microfiber mist necessary nile north novelty nude nylon object one orange oscar oyster paradise pea perfect pewter pink plaid powder precious primavera print rasberry raspberry raw ray red retro road romance rosa satchel scaparelli schiaparelli shape shoulder silver size sleeve small sorbet south string sweet tangerine things thong tomato tone top tote travel trim turtleneck tweed west white wine women wool wrap zip,"[('animal', 'NOUN'), ('appliqu', 'NOUN'), ('applique', 'NOUN'), ('azalea', 'NOUN'), ('bag', 'NOUN'), ('beige', 'ADJ'), ('berry', 'NOUN'), ('bikini', 'NOUN'), ('black', 'ADJ'), ('blend', 'NOUN'), ('blouse', 'NOUN'), ('boyleg', 'ADJ'), ('bra', 'NOUN'), ('brocade', 'NOUN'), ('bronze', 'NOUN'), ('brown', 'ADJ'), ('bubble', 'NOUN'), ('bustier', 'ADJ'), ('cameo', 'NOUN'), ('camisole', 'ADJ'), ('celebrity', 'NOUN'), ('charm', 'NOUN'), ('cheek', 'NOUN'), ('chocolate', 'NOUN'), ('clothe', 'NOUN'), ('clutch', 'NOUN'), ('cream', 'NOUN'), ('croco', 'NOUN'), ('dare', 'VERB'), ('east', 'ADV'), ('emily', 'ADV'), ('floral', 'ADJ'), ('frame', 'NOUN'), ('gold', 'NOUN'), ('green', 'ADJ'), ('halter', 'NOUN'), ('handle', 'NOUN'), ('havana', 'NOUN'), ('heart', 'NOUN'), ('hobo', 'NOUN'), ('holly', 'ADV'), ('jacket', 'NOUN'), ('jewel', 'NOUN'), ('juice', 'NOUN'), ('kings', 'VERB'), ('large', 'ADJ'), ('libra', 'NOUN'), ('light', 'NOUN'), ('lilac', 'NOUN'), ('little', 'ADJ'), ('lose', 'ADJ'), ('marilyn', 'NOUN'), ('match', 'VERB'), ('meadow', 'ADJ'), ('medium', 'ADJ'), ('mesh', 'NOUN'), ('messenger', 'NOUN'), ('metallic', 'ADJ'), ('microfiber', 'NOUN'), ('mist', 'NOUN'), ('necessary', 'ADJ'), ('nile', 'NOUN'), ('north', 'NOUN'), ('novelty', 'ADJ'), ('nude', 'ADJ'), ('nylon', 'NOUN'), ('object', 'NOUN'), ('one', 'NUM'), ('orange', 'ADJ'), ('oscar', 'NOUN'), ('oyster', 'NOUN'), ('paradise', 'NOUN'), ('pea', 'NOUN'), ('perfect', 'ADJ'), ('pewter', 'NOUN'), ('pink', 'NOUN'), ('plaid', 'NOUN'), ('powder', 'NOUN'), ('precious', 'ADJ'), ('primavera', 'NOUN'), ('print', 'NOUN'), ('rasberry', 'NOUN'), ('raspberry', 'VERB'), ('raw', 'ADJ'), ('ray', 'NOUN'), ('red', 'ADJ'), ('retro', 'NOUN'), ('road', 'NOUN'), ('romance', 'NOUN'), ('rosa', 'NOUN'), ('satchel', 'ADJ'), ('scaparelli', 'NOUN'), ('schiaparelli', 'NOUN'), ('shape', 'NOUN'), ('shoulder', 'NOUN'), ('silver', 'NOUN'), ('size', 'NOUN'), ('sleeve', 'ADJ'), ('small', 'ADJ'), ('sorbet', 'NOUN'), ('south', 'ADV'), ('string', 'NOUN'), ('sweet', 'ADJ'), ('tangerine', 'NOUN'), ('things', 'NOUN'), ('thong', 'VERB'), ('tomato', 'NOUN'), ('tone', 'NOUN'), ('top', 'ADJ'), ('tote', 'NOUN'), ('travel', 'NOUN'), ('trim', 'NOUN'), ('turtleneck', 'NOUN'), ('tweed', 'NOUN'), ('west', 'ADJ'), ('white', 'ADJ'), ('wine', 'NOUN'), ('women', 'NOUN'), ('wool', 'NOUN'), ('wrap', 'NOUN'), ('zip', 'NOUN')]"
2215,necktie accessories,accessories accessory amaze black book box brown cedar center clear clip clothe cover cufflink device green hard mate men necktie neckties pack plastic plat polyester rack silver solid stay storage tie tiealign tin winder wooden xlong yellow zip zipper,"[('accessories', 'NOUN'), ('accessory', 'NOUN'), ('amaze', 'VERB'), ('black', 'ADJ'), ('book', 'NOUN'), ('box', 'NOUN'), ('brown', 'ADJ'), ('cedar', 'NOUN'), ('center', 'NOUN'), ('clear', 'ADJ'), ('clip', 'NOUN'), ('clothe', 'NOUN'), ('cover', 'NOUN'), ('cufflink', 'NOUN'), ('device', 'NOUN'), ('green', 'ADJ'), ('hard', 'ADJ'), ('mate', 'NOUN'), ('men', 'NOUN'), ('necktie', 'VERB'), ('neckties', 'NOUN'), ('pack', 'VERB'), ('plastic', 'ADJ'), ('plat', 'NOUN'), ('polyester', 'NOUN'), ('rack', 'VERB'), ('silver', 'NOUN'), ('solid', 'ADJ'), ('stay', 'VERB'), ('storage', 'NOUN'), ('tie', 'NOUN'), ('tiealign', 'NOUN'), ('tin', 'NOUN'), ('winder', 'NOUN'), ('wooden', 'ADJ'), ('xlong', 'ADJ'), ('yellow', 'ADJ'), ('zip', 'NOUN'), ('zipper', 'NOUN')]"
2216,neckties solids,blue burgundy clothe extra ice long men neckties pocketsquare polyester solids tie white,"[('blue', 'ADJ'), ('burgundy', 'NOUN'), ('clothe', 'NOUN'), ('extra', 'ADJ'), ('ice', 'NOUN'), ('long', 'ADJ'), ('men', 'NOUN'), ('neckties', 'NOUN'), ('pocketsquare', 'VERB'), ('polyester', 'NOUN'), ('solids', 'NOUN'), ('tie', 'VERB'), ('white', 'ADJ')]"
2217,neil allyn,adj adjustable allyn baggy band bib black button chef chefs clothe coat collar convertible cotton cuff dress french front full hound jacket lapel large laydown long low medium men neck neil one pant peak pearl pique placket plain pleat poly polyester professional quot rise shirt sleeve solid stripe tailcoat tooth trouser tuxedo vest wing women womens xxxx,"[('adj', 'DET'), ('adjustable', 'ADJ'), ('allyn', 'NOUN'), ('baggy', 'ADJ'), ('band', 'NOUN'), ('bib', 'NOUN'), ('black', 'ADJ'), ('button', 'NOUN'), ('chef', 'NOUN'), ('chefs', 'VERB'), ('clothe', 'NOUN'), ('coat', 'NOUN'), ('collar', 'NOUN'), ('convertible', 'ADJ'), ('cotton', 'NOUN'), ('cuff', 'NOUN'), ('dress', 'NOUN'), ('french', 'ADJ'), ('front', 'NOUN'), ('full', 'ADJ'), ('hound', 'NOUN'), ('jacket', 'NOUN'), ('lapel', 'ADV'), ('large', 'ADJ'), ('laydown', 'NOUN'), ('long', 'ADV'), ('low', 'ADJ'), ('medium', 'ADJ'), ('men', 'NOUN'), ('neck', 'VERB'), ('neil', 'NOUN'), ('one', 'NUM'), ('pant', 'NOUN'), ('peak', 'NOUN'), ('pearl', 'NOUN'), ('pique', 'NOUN'), ('placket', 'NOUN'), ('plain', 'ADJ'), ('pleat', 'NOUN'), ('poly', 'ADJ'), ('polyester', 'NOUN'), ('professional', 'ADJ'), ('quot', 'NOUN'), ('rise', 'NOUN'), ('shirt', 'NOUN'), ('sleeve', 'VERB'), ('solid', 'ADJ'), ('stripe', 'ADJ'), ('tailcoat', 'NOUN'), ('tooth', 'NOUN'), ('trouser', 'NOUN'), ('tuxedo', 'NOUN'), ('vest', 'ADJ'), ('wing', 'NOUN'), ('women', 'NOUN'), ('womens', 'VERB'), ('xxxx', 'VERB')]"
2218,nerf,action blasters clothe dart micro nerf orange pack refill sonic tip whistle,"[('action', 'NOUN'), ('blasters', 'NOUN'), ('clothe', 'VERB'), ('dart', 'NOUN'), ('micro', 'ADJ'), ('nerf', 'NOUN'), ('orange', 'ADJ'), ('pack', 'NOUN'), ('refill', 'NOUN'), ('sonic', 'ADJ'), ('tip', 'NOUN'), ('whistle', 'NOUN')]"
2219,nest,thermostat,"[('thermostat', 'NOUN')]"
2220,netgear,adapter adsl band black bond broadband cable centurylink certify detail docsis dsl dual dualband gigabit high mbps modem nas netgear nighthawk non plw port powerline quad router smart speed stream tri ultrahigh usb use vdsl verizon wifi wireless,"[('adapter', 'NOUN'), ('adsl', 'VERB'), ('band', 'NOUN'), ('black', 'ADJ'), ('bond', 'NOUN'), ('broadband', 'NOUN'), ('cable', 'NOUN'), ('centurylink', 'NOUN'), ('certify', 'NOUN'), ('detail', 'NOUN'), ('docsis', 'NOUN'), ('dsl', 'VERB'), ('dual', 'ADJ'), ('dualband', 'NOUN'), ('gigabit', 'NOUN'), ('high', 'ADJ'), ('mbps', 'NOUN'), ('modem', 'NOUN'), ('nas', 'ADJ'), ('netgear', 'NOUN'), ('nighthawk', 'NOUN'), ('non', 'X'), ('plw', 'NOUN'), ('port', 'NOUN'), ('powerline', 'NOUN'), ('quad', 'NOUN'), ('router', 'NOUN'), ('smart', 'ADJ'), ('speed', 'NOUN'), ('stream', 'NOUN'), ('tri', 'NOUN'), ('ultrahigh', 'ADJ'), ('usb', 'NOUN'), ('use', 'NOUN'), ('vdsl', 'ADJ'), ('verizon', 'NOUN'), ('wifi', 'NOUN'), ('wireless', 'NOUN')]"
2221,netgift,backpack brown clothe hobo large leather purse sling women,"[('backpack', 'VERB'), ('brown', 'ADJ'), ('clothe', 'NOUN'), ('hobo', 'NOUN'), ('large', 'ADJ'), ('leather', 'NOUN'), ('purse', 'NOUN'), ('sling', 'NOUN'), ('women', 'NOUN')]"
2222,netpack,army bag ballistic black brief cargo clothe comp corner duffel gear grey large navy netpack nylon quot rip size stop super travel weekend wheel,"[('army', 'NOUN'), ('bag', 'NOUN'), ('ballistic', 'ADJ'), ('black', 'ADJ'), ('brief', 'ADJ'), ('cargo', 'NOUN'), ('clothe', 'NOUN'), ('comp', 'NOUN'), ('corner', 'NOUN'), ('duffel', 'ADJ'), ('gear', 'ADJ'), ('grey', 'ADJ'), ('large', 'ADJ'), ('navy', 'NOUN'), ('netpack', 'NOUN'), ('nylon', 'NOUN'), ('quot', 'NOUN'), ('rip', 'ADJ'), ('size', 'NOUN'), ('stop', 'VERB'), ('super', 'ADJ'), ('travel', 'NOUN'), ('weekend', 'NOUN'), ('wheel', 'NOUN')]"
2223,new balance,athletic balance coolmax cut outdoors pack sock sport women,"[('athletic', 'ADJ'), ('balance', 'NOUN'), ('coolmax', 'NOUN'), ('cut', 'NOUN'), ('outdoors', 'ADV'), ('pack', 'NOUN'), ('sock', 'NOUN'), ('sport', 'NOUN'), ('women', 'NOUN')]"
2224,new era,adjustable adult alt alternate anaheim angeles angels anthony aquasox astros atlanta auburn authentic baby baltimore band baseball bat batavia bay beach beanie beanies beige bend black blo blow blowout blue boston bounce brave brewers brooklyn buffalo cap cardinals carmelo champ champion charlotte chattanooga chicago child china cincinnati classic cleveland clothe clubhouse collection college color colorado colt concealer connecticut cooperstown cub cucamonga cyclones detroit devil diego dodgers drillers ebbets edition england era erie essential everett exact expos express extra field fifty fit flex florida fold font francisco game giants hat hawk head hitter home hornets houston hudson huskies indians infant jethawks jose khaki kid knight knit lancaster large league legends lexington limit logo long lookouts los louis lynx mariners marlins medium meet men mens mesh mets milwaukee minnesota minor mlb montreal mrytle muckdogs mudhens nationals navy nba ncaa nea nfl nhl nuggets oaks omaha one onfield orem orioles ottawa outdoors owlz padres par patriots pelicans philadelphia phillies pinch pirate pittsburgh practice primary princeton quake rancho rangers rasta rattlers ray red reds renegade replica road rochester rock rockies rookie round royal royals sabre sale san sea seattle seawolves semester series sidewinders silver situ size slouch small smokies south sox spike sport stadium state stone stretch summer taipei tampa team tennessee throwback tigers timber toddler toledo trojans tucson tulsa twill twin usc valley visalia visor visors washington white wing wisconsin women wool world yankees york youth,"[('adjustable', 'ADJ'), ('adult', 'NOUN'), ('alt', 'NOUN'), ('alternate', 'ADJ'), ('anaheim', 'X'), ('angeles', 'VERB'), ('angels', 'NOUN'), ('anthony', 'VERB'), ('aquasox', 'ADJ'), ('astros', 'NOUN'), ('atlanta', 'NOUN'), ('auburn', 'VERB'), ('authentic', 'ADJ'), ('baby', 'NOUN'), ('baltimore', 'ADP'), ('band', 'NOUN'), ('baseball', 'NOUN'), ('bat', 'NOUN'), ('batavia', 'NOUN'), ('bay', 'NOUN'), ('beach', 'NOUN'), ('beanie', 'NOUN'), ('beanies', 'NOUN'), ('beige', 'ADJ'), ('bend', 'VERB'), ('black', 'ADJ'), ('blo', 'ADJ'), ('blow', 'NOUN'), ('blowout', 'NOUN'), ('blue', 'ADJ'), ('boston', 'NOUN'), ('bounce', 'NOUN'), ('brave', 'ADJ'), ('brewers', 'NOUN'), ('brooklyn', 'VERB'), ('buffalo', 'NOUN'), ('cap', 'NOUN'), ('cardinals', 'NOUN'), ('carmelo', 'NOUN'), ('champ', 'NOUN'), ('champion', 'NOUN'), ('charlotte', 'NOUN'), ('chattanooga', 'NOUN'), ('chicago', 'NOUN'), ('child', 'NOUN'), ('china', 'NOUN'), ('cincinnati', 'NOUN'), ('classic', 'ADJ'), ('cleveland', 'NOUN'), ('clothe', 'NOUN'), ('clubhouse', 'NOUN'), ('collection', 'NOUN'), ('college', 'NOUN'), ('color', 'NOUN'), ('colorado', 'NOUN'), ('colt', 'NOUN'), ('concealer', 'NOUN'), ('connecticut', 'NOUN'), ('cooperstown', 'NOUN'), ('cub', 'NOUN'), ('cucamonga', 'ADJ'), ('cyclones', 'NOUN'), ('detroit', 'NOUN'), ('devil', 'NOUN'), ('diego', 'ADJ'), ('dodgers', 'NOUN'), ('drillers', 'NOUN'), ('ebbets', 'NOUN'), ('edition', 'NOUN'), ('england', 'NOUN'), ('era', 'NOUN'), ('erie', 'NOUN'), ('essential', 'ADJ'), ('everett', 'NOUN'), ('exact', 'ADJ'), ('expos', 'NOUN'), ('express', 'ADJ'), ('extra', 'ADJ'), ('field', 'NOUN'), ('fifty', 'NUM'), ('fit', 'ADJ'), ('flex', 'ADJ'), ('florida', 'NOUN'), ('fold', 'VERB'), ('font', 'ADJ'), ('francisco', 'NOUN'), ('game', 'NOUN'), ('giants', 'NOUN'), ('hat', 'NOUN'), ('hawk', 'NOUN'), ('head', 'NOUN'), ('hitter', 'NOUN'), ('home', 'NOUN'), ('hornets', 'NOUN'), ('houston', 'NOUN'), ('hudson', 'NOUN'), ('huskies', 'NOUN'), ('indians', 'VERB'), ('infant', 'NOUN'), ('jethawks', 'NOUN'), ('jose', 'VERB'), ('khaki', 'VERB'), ('kid', 'NOUN'), ('knight', 'NOUN'), ('knit', 'VERB'), ('lancaster', 'VERB'), ('large', 'ADJ'), ('league', 'NOUN'), ('legends', 'VERB'), ('lexington', 'NOUN'), ('limit', 'NOUN'), ('logo', 'NOUN'), ('long', 'ADJ'), ('lookouts', 'NOUN'), ('los', 'NOUN'), ('louis', 'NOUN'), ('lynx', 'NOUN'), ('mariners', 'NOUN'), ('marlins', 'NOUN'), ('medium', 'NOUN'), ('meet', 'NOUN'), ('men', 'NOUN'), ('mens', 'ADP'), ('mesh', 'NOUN'), ('mets', 'NOUN'), ('milwaukee', 'NOUN'), ('minnesota', 'VERB'), ('minor', 'ADJ'), ('mlb', 'NOUN'), ('montreal', 'ADJ'), ('mrytle', 'NOUN'), ('muckdogs', 'NOUN'), ('mudhens', 'NOUN'), ('nationals', 'NOUN'), ('navy', 'NOUN'), ('nba', 'ADV'), ('ncaa', 'NOUN'), ('nea', 'VERB'), ('nfl', 'NOUN'), ('nhl', 'ADJ'), ('nuggets', 'NOUN'), ('oaks', 'NOUN'), ('omaha', 'VERB'), ('one', 'NUM'), ('onfield', 'NOUN'), ('orem', 'NOUN'), ('orioles', 'NOUN'), ('ottawa', 'VERB'), ('outdoors', 'ADJ'), ('owlz', 'NOUN'), ('padres', 'NOUN'), ('par', 'NOUN'), ('patriots', 'NOUN'), ('pelicans', 'NOUN'), ('philadelphia', 'VERB'), ('phillies', 'NOUN'), ('pinch', 'VERB'), ('pirate', 'NOUN'), ('pittsburgh', 'NOUN'), ('practice', 'NOUN'), ('primary', 'ADJ'), ('princeton', 'NOUN'), ('quake', 'NOUN'), ('rancho', 'NOUN'), ('rangers', 'NOUN'), ('rasta', 'VERB'), ('rattlers', 'NOUN'), ('ray', 'VERB'), ('red', 'ADJ'), ('reds', 'NOUN'), ('renegade', 'VERB'), ('replica', 'NOUN'), ('road', 'NOUN'), ('rochester', 'NOUN'), ('rock', 'NOUN'), ('rockies', 'VERB'), ('rookie', 'NOUN'), ('round', 'ADJ'), ('royal', 'ADJ'), ('royals', 'NOUN'), ('sabre', 'NOUN'), ('sale', 'NOUN'), ('san', 'ADJ'), ('sea', 'NOUN'), ('seattle', 'NOUN'), ('seawolves', 'NOUN'), ('semester', 'NOUN'), ('series', 'NOUN'), ('sidewinders', 'NOUN'), ('silver', 'NOUN'), ('situ', 'NOUN'), ('size', 'NOUN'), ('slouch', 'NOUN'), ('small', 'ADJ'), ('smokies', 'NOUN'), ('south', 'ADV'), ('sox', 'NOUN'), ('spike', 'ADJ'), ('sport', 'NOUN'), ('stadium', 'NOUN'), ('state', 'NOUN'), ('stone', 'NOUN'), ('stretch', 'NOUN'), ('summer', 'NOUN'), ('taipei', 'NOUN'), ('tampa', 'NOUN'), ('team', 'NOUN'), ('tennessee', 'VERB'), ('throwback', 'NOUN'), ('tigers', 'NOUN'), ('timber', 'NOUN'), ('toddler', 'NOUN'), ('toledo', 'NOUN'), ('trojans', 'NOUN'), ('tucson', 'VERB'), ('tulsa', 'NOUN'), ('twill', 'VERB'), ('twin', 'ADJ'), ('usc', 'ADJ'), ('valley', 'NOUN'), ('visalia', 'NOUN'), ('visor', 'NOUN'), ('visors', 'NOUN'), ('washington', 'PART'), ('white', 'ADJ'), ('wing', 'NOUN'), ('wisconsin', 'NOUN'), ('women', 'NOUN'), ('wool', 'NOUN'), ('world', 'NOUN'), ('yankees', 'NOUN'), ('york', 'NOUN'), ('youth', 'NOUN')]"
2225,new icm,clothe crinoline girls icm length petticoat slip tea white,"[('clothe', 'NOUN'), ('crinoline', 'NOUN'), ('girls', 'NOUN'), ('icm', 'VERB'), ('length', 'NOUN'), ('petticoat', 'NOUN'), ('slip', 'NOUN'), ('tea', 'NOUN'), ('white', 'ADJ')]"
2226,new look,afro aleeshaxl clothe firegoddess firered firewisp hennared,"[('afro', 'VERB'), ('aleeshaxl', 'NOUN'), ('clothe', 'NOUN'), ('firegoddess', 'NOUN'), ('firered', 'VERB'), ('firewisp', 'NOUN'), ('hennared', 'VERB')]"
2227,new york fashion police,adj athletic cap clothe crewneck department gray hood hoodie license navy nypd officially police shield shirt sweatshirt tee york,"[('adj', 'ADV'), ('athletic', 'ADJ'), ('cap', 'NOUN'), ('clothe', 'NOUN'), ('crewneck', 'NOUN'), ('department', 'NOUN'), ('gray', 'ADJ'), ('hood', 'NOUN'), ('hoodie', 'NOUN'), ('license', 'NOUN'), ('navy', 'NOUN'), ('nypd', 'VERB'), ('officially', 'ADV'), ('police', 'NOUN'), ('shield', 'NOUN'), ('shirt', 'NOUN'), ('sweatshirt', 'NOUN'), ('tee', 'NOUN'), ('york', 'NOUN')]"
2228,newport news,bandeau clothe control dot dress maillot neck newport news one piece polka shape slimming square swimsuit tank,"[('bandeau', 'NOUN'), ('clothe', 'NOUN'), ('control', 'NOUN'), ('dot', 'NOUN'), ('dress', 'NOUN'), ('maillot', 'NOUN'), ('neck', 'NOUN'), ('newport', 'NOUN'), ('news', 'NOUN'), ('one', 'NUM'), ('piece', 'NOUN'), ('polka', 'NOUN'), ('shape', 'NOUN'), ('slimming', 'VERB'), ('square', 'ADJ'), ('swimsuit', 'NOUN'), ('tank', 'NOUN')]"
2229,newport news brands,backless black blazer boot bronze camel classic clothe colorblock cover dress fit front green halter ivy jane jeans long mary metallic miss mule multi navy pump quot red ruffle scrunch scuba single sleeve slim strap style suede suit tall tank true tuck tunic turquoise white wide yellow,"[('backless', 'ADJ'), ('black', 'ADJ'), ('blazer', 'NOUN'), ('boot', 'NOUN'), ('bronze', 'NOUN'), ('camel', 'NOUN'), ('classic', 'ADJ'), ('clothe', 'NOUN'), ('colorblock', 'NOUN'), ('cover', 'NOUN'), ('dress', 'NOUN'), ('fit', 'ADJ'), ('front', 'ADJ'), ('green', 'ADJ'), ('halter', 'NOUN'), ('ivy', 'NOUN'), ('jane', 'NOUN'), ('jeans', 'VERB'), ('long', 'ADJ'), ('mary', 'ADJ'), ('metallic', 'ADJ'), ('miss', 'NOUN'), ('mule', 'ADJ'), ('multi', 'ADJ'), ('navy', 'NOUN'), ('pump', 'VERB'), ('quot', 'ADJ'), ('red', 'ADJ'), ('ruffle', 'NOUN'), ('scrunch', 'NOUN'), ('scuba', 'NOUN'), ('single', 'ADJ'), ('sleeve', 'ADJ'), ('slim', 'ADJ'), ('strap', 'NOUN'), ('style', 'NOUN'), ('suede', 'NOUN'), ('suit', 'NOUN'), ('tall', 'ADJ'), ('tank', 'NOUN'), ('true', 'ADJ'), ('tuck', 'NOUN'), ('tunic', 'NOUN'), ('turquoise', 'NOUN'), ('white', 'ADJ'), ('wide', 'ADJ'), ('yellow', 'NOUN')]"
2230,nfl,adult apron authentic back banner bay bear belt bengals black boy broncos buckle burner cap chad chicago cincinnati classic clothe colts cotton cowboys dallas denver dolphins dye england ers face fan fleece football francisco giants gloves green hat helmet hood indianapolis jersey jet johnson kid ladies large line long medium men miami mini neck necktie nfl oakland orange outdoors packers patriots pink plaid polyester polythinsulate practice radio raiders rally redskins reebok run sale san santa scoop set shirt silk size sleeve sport sue sweatshirt tie tone uniform washington white womens york,"[('adult', 'NOUN'), ('apron', 'NOUN'), ('authentic', 'ADJ'), ('back', 'ADJ'), ('banner', 'NOUN'), ('bay', 'NOUN'), ('bear', 'NOUN'), ('belt', 'NOUN'), ('bengals', 'NOUN'), ('black', 'ADJ'), ('boy', 'NOUN'), ('broncos', 'NOUN'), ('buckle', 'VERB'), ('burner', 'NOUN'), ('cap', 'NOUN'), ('chad', 'VERB'), ('chicago', 'NOUN'), ('cincinnati', 'NOUN'), ('classic', 'ADJ'), ('clothe', 'NOUN'), ('colts', 'NOUN'), ('cotton', 'NOUN'), ('cowboys', 'NOUN'), ('dallas', 'NOUN'), ('denver', 'NOUN'), ('dolphins', 'NOUN'), ('dye', 'NOUN'), ('england', 'NOUN'), ('ers', 'NOUN'), ('face', 'NOUN'), ('fan', 'NOUN'), ('fleece', 'NOUN'), ('football', 'NOUN'), ('francisco', 'NOUN'), ('giants', 'NOUN'), ('gloves', 'VERB'), ('green', 'ADJ'), ('hat', 'NOUN'), ('helmet', 'NOUN'), ('hood', 'NOUN'), ('indianapolis', 'ADJ'), ('jersey', 'ADJ'), ('jet', 'NOUN'), ('johnson', 'NOUN'), ('kid', 'NOUN'), ('ladies', 'VERB'), ('large', 'ADJ'), ('line', 'NOUN'), ('long', 'ADJ'), ('medium', 'ADJ'), ('men', 'NOUN'), ('miami', 'NOUN'), ('mini', 'ADJ'), ('neck', 'NOUN'), ('necktie', 'NOUN'), ('nfl', 'NOUN'), ('oakland', 'NOUN'), ('orange', 'NOUN'), ('outdoors', 'ADJ'), ('packers', 'NOUN'), ('patriots', 'NOUN'), ('pink', 'VERB'), ('plaid', 'ADJ'), ('polyester', 'NOUN'), ('polythinsulate', 'NOUN'), ('practice', 'NOUN'), ('radio', 'NOUN'), ('raiders', 'NOUN'), ('rally', 'NOUN'), ('redskins', 'VERB'), ('reebok', 'VERB'), ('run', 'VERB'), ('sale', 'NOUN'), ('san', 'NOUN'), ('santa', 'PROPN'), ('scoop', 'NOUN'), ('set', 'VERB'), ('shirt', 'NOUN'), ('silk', 'NOUN'), ('size', 'NOUN'), ('sleeve', 'NOUN'), ('sport', 'NOUN'), ('sue', 'NOUN'), ('sweatshirt', 'NOUN'), ('tie', 'VERB'), ('tone', 'NOUN'), ('uniform', 'ADJ'), ('washington', 'NOUN'), ('white', 'ADJ'), ('womens', 'NOUN'), ('york', 'NOUN')]"
2231,nhl,angeles black cap clothe grey hat kings los nhl snapback tone,"[('angeles', 'NOUN'), ('black', 'ADJ'), ('cap', 'NOUN'), ('clothe', 'NOUN'), ('grey', 'NOUN'), ('hat', 'NOUN'), ('kings', 'NOUN'), ('los', 'VERB'), ('nhl', 'ADJ'), ('snapback', 'NOUN'), ('tone', 'NOUN')]"
